dates,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Cruise Ship,Czechia,Denmark,Ecuador,Finland,France,Germany,Greece,Iran,Ireland,Israel,Italy,Japan,"Korea, South",Luxembourg,Malaysia,Netherlands,Norway,Pakistan,Poland,Portugal,Spain,Sweden,Switzerland,Turkey,US,United Kingdom
2020-01-22,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-23,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-24,0,0,0,0,0,0,920,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-01-25,0,0,0,0,0,0,1406,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,2,0
2020-01-26,4,0,0,0,1,0,2075,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,5,0
2020-01-27,5,0,0,0,1,0,2877,0,0,0,0,0,3,1,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,5,0
2020-01-28,5,0,0,0,2,0,5509,0,0,0,0,0,4,4,0,0,0,0,0,7,4,0,4,0,0,0,0,0,0,0,0,0,5,0
2020-01-29,6,0,0,0,2,0,6087,0,0,0,0,1,5,4,0,0,0,0,0,7,4,0,7,0,0,0,0,0,0,0,0,0,5,0
2020-01-30,9,0,0,0,2,0,8141,0,0,0,0,1,5,4,0,0,0,0,0,11,4,0,8,0,0,0,0,0,0,0,0,0,5,0
2020-01-31,9,0,0,0,4,0,9802,0,0,0,0,1,5,5,0,0,0,0,2,15,11,0,8,0,0,0,0,0,0,1,0,0,7,2
2020-02-01,12,0,0,0,4,0,11891,0,0,0,0,1,6,8,0,0,0,0,2,20,12,0,8,0,0,0,0,0,1,1,0,0,8,2
2020-02-02,12,0,0,0,4,0,16630,0,0,0,0,1,6,10,0,0,0,0,2,20,15,0,8,0,0,0,0,0,1,1,0,0,8,2
2020-02-03,12,0,0,0,4,0,19716,0,0,0,0,1,6,12,0,0,0,0,2,20,15,0,8,0,0,0,0,0,1,1,0,0,11,2
